algorithm,input,n,run,data_seed,pivot_seed,time_ns,time_ms,comparisons,max_depth
QuickSort,duplicates,100000,5,3102527,1703314,2200500,2.200500,329696,2
QuickSelect,duplicates,100000,1,3102527,1703310,686500,0.686500,100000,1
QuickSelect,duplicates,100000,2,3102527,1703311,1865000,1.865000,289901,1
QuickSelect,duplicates,100000,3,3102527,1703312,1044100,1.044100,170076,1
QuickSelect,duplicates,100000,4,3102527,1703313,1409800,1.409800,230021,1
QuickSelect,duplicates,100000,5,3102527,1703314,1667500,1.667500,260034,1
MergeSort,duplicates,1000000,1,31002527,17003310,123613300,123.613300,18919820,18
MergeSort,duplicates,1000000,2,31002527,17003311,148879400,148.879400,18919820,18
MergeSort,duplicates,1000000,3,31002527,17003312,131675700,131.675700,18919820,18
MergeSort,duplicates,1000000,4,31002527,17003313,130230200,130.230200,18919820,18
MergeSort,duplicates,1000000,5,31002527,17003314,130204200,130.204200,18919820,18
QuickSort,duplicates,1000000,1,31002527,17003310,55180200,55.180200,3000276,3
QuickSort,duplicates,1000000,2,31002527,17003311,21548500,21.548500,2999792,3
QuickSort,duplicates,1000000,3,31002527,17003312,23407100,23.407100,3399309,2
QuickSort,duplicates,1000000,4,31002527,17003313,29895200,29.895200,4301531,2
QuickSort,duplicates,1000000,5,31002527,17003314,23429400,23.429400,2999997,3
QuickSelect,duplicates,1000000,1,31002527,17003310,27815000,27.815000,1999512,1
QuickSelect,duplicates,1000000,2,31002527,17003311,21713200,21.713200,1599804,1
QuickSelect,duplicates,1000000,3,31002527,17003312,18471700,18.471700,1000000,1
QuickSelect,duplicates,1000000,4,31002527,17003313,34049300,34.049300,4500746,1
QuickSelect,duplicates,1000000,5,31002527,17003314,15177400,15.177400,1799777,1
